pos_x , pos_y , pos_z , pos_d_x , pos_d_y , pos_d_z , pos_e_x , pos_e_y , pos_e_z , quat_x , quat_y , quat_z , quat_w , quat_d_x , quat_d_y , quat_d_z , quat_d_w , yaw , yaw_d , vel_x , vel_y , vel_z , vel_d_x , vel_d_y , vel_d_z , vel_e_x , vel_e_y , vel_e_z , acc_d_x , acc_d_y , acc_d_z , jerk_d_x , jerk_d_y , jerk_d_z , omega_d_x , omega_d_y , omega_d_z
-0.000267 , -0.001016 , 0.500460 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000016 , 0.000357 , -0.001124 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002249 , 0.000000 , 0.001555 , -0.001802 , 0.006032 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006032 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000234 , -0.001052 , 0.500580 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000018 , 0.000300 , -0.001125 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002250 , 0.000000 , 0.001697 , -0.001796 , 0.006020 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.006020 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000198 , -0.001088 , 0.500700 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000021 , 0.000225 , -0.001125 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002251 , 0.000000 , 0.001812 , -0.001788 , 0.005996 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.005996 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000161 , -0.001123 , 0.500820 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000023 , 0.000153 , -0.001126 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002251 , 0.000000 , 0.001896 , -0.001780 , 0.005984 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.005984 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000122 , -0.001159 , 0.500939 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000025 , 0.000100 , -0.001126 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002252 , 0.000000 , 0.001951 , -0.001771 , 0.005978 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.005978 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000082 , -0.001194 , 0.501059 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000027 , 0.000069 , -0.001127 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002253 , 0.000000 , 0.001986 , -0.001762 , 0.005966 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.005966 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000
-0.000042 , -0.001229 , 0.501178 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000029 , 0.000055 , -0.001127 , 0.999999 , 0.000028 , -0.000263 , 0.000000 , 1.000000 , -0.002254 , 0.000000 , 0.002010 , -0.001751 , 0.005949 , 0.000000 , 0.000000 , 0.000000 , -0.002010 , 0.000000 , -0.005949 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.000149 , -0.065949 , 0.000000
-0.000001 , -0.001264 , 0.501296 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000031 , -0.000009 , -0.001127 , 0.999999 , 0.000028 , -0.000269 , 0.000000 , 1.000000 , -0.002255 , 0.000000 , 0.002046 , -0.001740 , 0.005937 , 0.000000 , 0.000000 , 0.000000 , -0.002046 , 0.000000 , -0.005937 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.001165 , 0.000000
0.000040 , -0.001299 , 0.501415 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000034 , -0.000311 , -0.001128 , 0.999999 , 0.000028 , -0.000269 , 0.000000 , 1.000000 , -0.002256 , 0.000000 , 0.002048 , -0.001727 , 0.005925 , 0.000000 , 0.000000 , 0.000000 , -0.002048 , 0.000000 , -0.005925 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.000061 , 0.000000
0.000079 , -0.001333 , 0.501533 , 0.000000 , 0.000000 , 0.500000 , 0.000000 , 0.000000 , 0.000000 , -0.000036 , -0.000585 , -0.001128 , 0.999999 , 0.000028 , 0.000067 , 0.000000 , 1.000000 , -0.002256 , 0.000000 , 0.001902 , -0.001714 , 0.005913 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , -0.005913 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000000 , 0.000152 , 0.067174 , 0.000000
